scenario,n,p_target,p_used,conf_level,S,Jeffreys,Jeffreys__coverage,Jeffreys__lb_var,Jeffreys__ub_var,Jeffreys__len_var,Jeffreys__lb_sd,Jeffreys__ub_sd,Jeffreys__len_sd,Jeffreys__lb_se,Jeffreys__ub_se,Jeffreys__len_se,Clopper–Pearson,Clopper–Pearson__coverage,Clopper–Pearson__lb_var,Clopper–Pearson__ub_var,Clopper–Pearson__len_var,Clopper–Pearson__lb_sd,Clopper–Pearson__ub_sd,Clopper–Pearson__len_sd,Clopper–Pearson__lb_se,Clopper–Pearson__ub_se,Clopper–Pearson__len_se,Normal Approximation,Normal Approximation__coverage,Normal Approximation__lb_var,Normal Approximation__ub_var,Normal Approximation__len_var,Normal Approximation__lb_sd,Normal Approximation__ub_sd,Normal Approximation__len_sd,Normal Approximation__lb_se,Normal Approximation__ub_se,Normal Approximation__len_se
Baseline,1000,0.01,0.0099397993311036,0.95,10000,"(0.012267) [0.005128, 0.017395]",0.9432,4.763822336933081e-06,1.6852386941021495e-05,3.7584288708827703e-06,0.002182618229772005,0.004105165884714221,0.0019386667766490377,2.182618229772005e-05,4.105165884714221e-05,1.9386667766490378e-05,"(0.013260) [0.004789, 0.018049]",0.9743,4.644652660870984e-06,1.6633548378569437e-05,3.765636200826883e-06,0.0021551456240521158,0.004078424742295662,0.0019405247230650999,2.1551456240521156e-05,4.078424742295662e-05,1.9405247230651e-05,"(0.012075) [0.003815, 0.015890]",0.9203,4.703085675898414e-06,1.707805749521903e-05,3.9299475022348865e-06,0.0021686598801790966,0.0041325606462844595,0.00198240951930596,2.1686598801790967e-05,4.132560646284459e-05,1.98240951930596e-05
Large Sample,10000,0.01,0.0099397993311036,0.95,10000,"(0.003885) [0.008117, 0.012003]",0.9558,7.865310859881892e-07,1.1599825827553463e-06,3.6208165258941974e-08,0.000886865878241005,0.0010770248756437088,0.00019028443251864293,8.86865878241005e-06,1.0770248756437089e-05,1.9028443251864292e-06,"(0.003985) [0.008072, 0.012058]",0.9602,7.860894644704799e-07,1.1594496145928803e-06,3.620883303247773e-08,0.0008866168645308299,0.0010767774211009815,0.00019028618718256387,8.8661686453083e-06,1.0767774211009815e-05,1.9028618718256387e-06,"(0.003880) [0.007979, 0.011858]",0.9526,7.867097393968863e-07,1.1609609388052208e-06,3.634318400421436e-08,0.0008869665942959105,0.0010774789737183835,0.00019063888376775174,8.869665942959105e-06,1.0774789737183835e-05,1.9063888376775174e-06
Low Default,1000,0.001,0.001,0.95,10000,"(0.004284) [0.000193, 0.004477]",0.9818,8.311006821808416e-08,3.372857083503879e-06,2.499702757798016e-06,0.00028828816870985906,0.0018365339864821121,0.0015810448310525594,2.8828816870985905e-06,1.8365339864821122e-05,1.5810448310525594e-05,"(0.005334) [0.000112, 0.005447]",0.9818,4.9967900276375974e-08,2.841325678038489e-06,2.2561139431112723e-06,0.00022353500906206161,0.0016856232313415976,0.0015020365984593292,2.235350090620616e-06,1.6856232313415977e-05,1.5020365984593292e-05,"(0.003016) [-0.000517, 0.002499]",0.632,1.95361828278069e-07,4.824424580780699e-06,6.105089658117537e-06,0.00044199754329415567,0.0021964572795255314,0.0024708479633756375,4.419975432941557e-06,2.1964572795255314e-05,2.4708479633756375e-05
Small Sample,100,0.01,0.0099397993311036,0.95,10000,"(0.041906) [0.001943, 0.043849]",0.9813,8.498079845640052e-06,0.000319899456764,0.0002343866366933,0.0029151466250670914,0.017885733330339017,0.015309690940489295,2.9151466250670914e-05,0.00017885733330339016,0.00015309690940489294,"(0.052154) [0.001132, 0.053286]",0.9813,5.096409337389598e-06,0.000267811197478,0.0002107101681815,0.002257522832086001,0.016364938052983887,0.014515859195428289,2.2575228320860007e-05,0.00016364938052983887,0.0001451585919542829,"(0.029798) [-0.005012, 0.024786]",0.6287,1.9352768993238455e-05,0.0004790869638074,0.0006010505416013,0.004399178217944626,0.02188805527696328,0.02451633214005105,4.399178217944626e-05,0.0002188805527696328,0.0002451633214005105
