n,p,conf_level,n_sims,prior,prior_a,prior_b,tail,coverage,conservatism_mean,conservatism_var,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var
50,0.0013311036789297659,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.0629,,,4.494615794172399e-05,0.004832818536565172,7.681065260721772e-08,0.0003368913532815709,0.004787872378623447,0.00032998637634466024
50,0.0013311036789297659,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.9385771449445812,0.05391993068142749,0.0,0.003963331768438141,0.0,0.00022723645905797554,0.003963331768438141,0.00022723645905797554
50,0.0016622073578595317,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9194,,,0.00020631315253434953,0.052173444316670564,5.890793450904649e-07,0.00013683380897074157,0.05196713116413623,0.00012061202469715764
50,0.0016622073578595317,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.29311662231256386,0.0067170851620350445,0.0,0.04067754486427057,0.0,0.00011850947923459054,0.04067754486427057,0.00011850947923459054
50,0.0016622073578595317,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9194,,,0.0008692204655094827,0.07268185287486828,1.7979762708255042e-06,9.952514539758174e-05,0.07181263240935877,7.49474164676586e-05
50,0.0016622073578595317,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.07504489754766488,0.0004525902481373473,0.0,0.05978045743949351,0.0,8.814231962201382e-05,0.05978045743949351,8.814231962201382e-05
50,0.0016622073578595317,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.0771,,,5.8045796716645894e-05,0.005974258950292975,1.1799303776431216e-07,0.0004117914501866949,0.00591621315357633,0.00040279148561862143
50,0.0016622073578595317,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.9254441793660584,0.06342189637200103,0.0,0.004901647674934212,0.0,0.0002781911136215021,0.004901647674934212,0.0002781911136215021
50,0.0019933110367892975,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9096,,,0.00023394108141237715,0.052606662943298216,7.047293359956533e-07,0.00015395991596705327,0.05237272186188584,0.00013532656585325752
50,0.0019933110367892975,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.3163654647236097,0.008664428625639011,0.0,0.04108083363756154,0.0,0.00013339093800337253,0.04108083363756154,0.00013339093800337253
50,0.0019933110367892975,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9096,,,0.0009189607441063664,0.07305177596615384,2.0788599176399866e-06,0.00011217278947629377,0.07213281522204745,8.421050624223172e-05
50,0.0019933110367892975,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.08841636222802944,0.0006995538038921028,0.0,0.06012865097668557,0.0,9.937159569160491e-05,0.06012865097668557,9.937159569160491e-05
50,0.0019933110367892975,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.086,,,6.790948995082164e-05,0.006720492887605124,1.5538610106339786e-07,0.00046050283530550484,0.006652583397654303,0.00044986940377654674
50,0.0019933110367892975,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.9176270137400432,0.06830349560920906,0.0,0.005516322268560856,0.0,0.00031155057391675387,0.005516322268560856,0.00031155057391675387
50,0.0023244147157190633,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9948,,,0.0002844016421224369,0.053478406136807065,8.746860073251505e-07,0.0001846020042059382,0.05319400449468464,0.0001621585474108026
50,0.0023244147157190633,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.33305118223049507,0.011743345567949965,0.0,0.04189169451536351,0.0,0.00015995045735331859,0.04189169451536351,0.00015995045735331859
50,0.0023244147157190633,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.889,,,0.001014401292015927,0.07379327965313535,2.5224885202453836e-06,0.00013452322925380973,0.0727788783611194,0.00010091132582892941
50,0.0023244147157190633,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.10016567636243669,0.0011050220061717122,0.0,0.060826187297457195,0.0,0.0001191802125420474,0.060826187297457195,0.0001191802125420474
50,0.0023244147157190633,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.1058,,,8.311107531856525e-05,0.008246095659541004,2.1331075014548542e-07,0.0005521145312458623,0.00816298458422244,0.0005392410077467931
50,0.0023244147157190633,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.900429866344247,0.07945195986840346,0.0,0.00676790993918247,0.0,0.00037352350390837006,0.00676790993918247,0.00037352350390837006
