n,p,conf_level,coverage_jeff,coverage_exact,coverage_approx,coverage_ecb,coverage_exact_unil,coverage_approx_unil,lb_mean_jeff,ub_mean_jeff,lb_var_jeff,ub_var_jeff,len_mean_jeff,len_var_jeff,lb_mean_exact,ub_mean_exact,lb_var_exact,ub_var_exact,len_mean_exact,len_var_exact,lb_mean_approx,ub_mean_approx,lb_var_approx,ub_var_approx,len_mean_approx,len_var_approx,lb_mean_ecb,ub_mean_ecb,lb_var_ecb,ub_var_ecb,len_mean_ecb,len_var_ecb,lb_mean_exact_unil,ub_mean_exact_unil,lb_var_exact_unil,ub_var_exact_unil,len_mean_exact_unil,len_var_exact_unil,lb_mean_approx_unil,ub_mean_approx_unil,lb_var_approx_unil,ub_var_approx_unil,len_mean_approx_unil,len_var_approx_unil
1000,0.0001,0.95,0.9044,0.995,0.0956,1.0,1.0,0.0956,1.2386541753969749e-05,0.002723303070781047,1.874976695986248e-09,4.5368869529635143e-07,0.0027109165290270776,4.013367495817752e-07,3.5806297140518694e-06,0.0038700516475003006,4.037155765385168e-10,3.4853080105730597e-07,0.003866471017786249,3.322209261890391e-07,-9.065322604949276e-05,0.0002922532260494928,7.797142308005695e-08,8.251793060335834e-07,0.00038290645209898555,1.4005440182272805e-06,0.0,0.0021163308843655765,0.0,3.844476095389973e-07,0.0021163308843655765,3.844476095389973e-07,0.0,0.0031659785212924335,0.0,3.014415354189943e-07,0.0031659785212924335,3.014415354189943e-07,0.0,0.0002614726122230093,0.0,6.615788246373854e-07,0.0002614726122230093,6.615788246373854e-07
1000,0.00011638795986622074,0.95,0.9937,0.9937,0.1153,1.0,1.0,0.1153,1.4903157574411372e-05,0.0027680389250254777,2.245379719481817e-09,5.376866737549312e-07,0.0027531357674510665,4.7534960795152095e-07,4.3614629358320815e-06,0.003909166392065753,4.856308505398129e-10,4.1325266967865547e-07,0.00390480492912992,3.9369092132229305e-07,-0.00010929827197608641,0.00035289827197608644,9.193371358972591e-08,9.767236220455808e-07,0.00046219654395217286,1.6558556312706135e-06,0.0,0.0021574927284923554,0.0,4.5566429473631304e-07,0.0021574927284923554,4.5566429473631304e-07,0.0,0.003202341756953992,0.0,3.574398491127325e-07,0.003202341756953992,3.574398491127325e-07,0.0,0.0003157437835799249,0.0,7.831895212539266e-07,0.0003157437835799249,7.831895212539266e-07
1000,0.00013277591973244148,0.95,0.993,0.993,0.1226,1.0,1.0,0.1226,1.5945900329208685e-05,0.0027851534900632763,2.4653362764206915e-09,5.712749279282682e-07,0.002769207589734068,5.043054555817373e-07,4.735849016565919e-06,0.003924173785536212,5.600097509945184e-10,4.3947072019677943e-07,0.003919437936519645,4.180172130854495e-07,-0.00011612795157153642,0.0003759279515715364,9.683384568373627e-08,1.0354548386738593e-06,0.0004920559031430728,1.7516734087151916e-06,0.0,0.002173249291053629,0.0,4.842174560122504e-07,0.002173249291053629,4.842174560122504e-07,0.0,0.003216299488072977,0.0,3.8016963544311607e-07,0.003216299488072977,3.8016963544311607e-07,0.0,0.0003363731656632197,0.0,8.3051012652728e-07,0.0003363731656632197,8.3051012652728e-07
1000,0.0001491638795986622,0.95,0.9899,0.9899,0.1397,1.0,1.0,0.1397,1.8823406924071397e-05,0.0028277246259252515,3.1728090460749168e-09,6.609071800212738e-07,0.00280890121900118,5.800862250577004e-07,5.916787066717922e-06,0.003961680428308304,8.033187557991193e-10,5.103488920185843e-07,0.003955763641241587,4.826187052113355e-07,-0.0001318618563397708,0.00043246185633977083,1.0755256327150093e-07,1.1864538485898027e-06,0.0005643237126795416,1.9883731837226073e-06,0.0,0.0022124779274684866,0.0,5.606011527357249e-07,0.0022124779274684866,5.606011527357249e-07,0.0,0.003251204705038039,0.0,4.4172017355516345e-07,0.003251204705038039,4.4172017355516345e-07,0.0,0.00038709769447230246,0.0,9.527344873602056e-07,0.00038709769447230246,9.527344873602056e-07
1000,0.00016555183946488294,0.95,0.9891,0.9891,0.1513,1.0,1.0,0.1513,2.031590053108885e-05,0.0028541264745081227,3.3785055225380214e-09,7.056721208995285e-07,0.0028338105739770343,6.194673902100203e-07,6.3840568251256836e-06,0.003984769308455957,8.51461340304545e-10,5.448814556356665e-07,0.003978385251630831,5.153630465540379e-07,-0.00014283410848301906,0.000468234108483019,1.1494387942333866e-07,1.266989193797384e-06,0.0006110682169660381,2.1237513064414457e-06,0.0,0.002236771393923688,0.0,5.98562789403045e-07,0.002236771393923688,5.98562789403045e-07,0.0,0.003272669968567709,0.0,4.7160308012475055e-07,0.003272669968567709,4.7160308012475055e-07,0.0,0.00041911230678716487,0.0,1.0173822277277404e-06,0.00041911230678716487,1.0173822277277404e-06
1000,0.0001819397993311037,0.95,0.9849,0.9849,0.1632,1.0,1.0,0.1632,2.3102426929945762e-05,0.0028878696844660532,4.344531434490354e-09,7.880381530803947e-07,0.0028647672575361073,6.860947849407839e-07,7.785065577079192e-06,0.004014788842629552,1.24541452291475e-09,6.116746485884569e-07,0.004007003777052473,5.736831701579526e-07,-0.0001532585415149288,0.0005118585415149288,1.212027349527528e-07,1.3962167481626511e-06,0.0006651170830298576,2.309432926230807e-06,0.0,0.00226792581398023,0.0,6.691174154843552e-07,0.00226792581398023,6.691174154843552e-07,0.0,0.0033006456246945396,0.0,5.298146709919896e-07,0.0033006456246945396,5.298146709919896e-07,0.0,0.00045839192592275594,0.0,1.1229982599578223e-06,0.00045839192592275594,1.1229982599578223e-06
1000,0.0001983277591973244,0.95,0.9828,0.9828,0.1765,1.0,1.0,0.1765,2.5134853939985825e-05,0.002920035700120925,4.685834694390208e-09,8.449835948805145e-07,0.0028949008461809393,7.351338981472591e-07,8.53977390094664e-06,0.004043055722016656,1.331106108802097e-09,6.562756750624527e-07,0.00403451594811571,6.151602445493818e-07,-0.0001656520692722534,0.0005548520692722534,1.2883631292444527e-07,1.4943709866164403e-06,0.0007205041385445068,2.467491239081771e-06,0.0,0.002297550239610363,0.0,7.175439837834379e-07,0.002297550239610363,7.175439837834379e-07,0.0,0.0033269414353213136,0.0,5.684842202476148e-07,0.0033269414353213136,5.684842202476148e-07,0.0,0.000496933067052911,0.0,1.2021914151139117e-06,0.000496933067052911,1.2021914151139117e-06
1000,0.00021471571906354515,0.95,0.981,0.981,0.1915,1.0,1.0,0.1915,2.7601377349302147e-05,0.002956613698163102,5.400265362727118e-09,9.125470445461697e-07,0.0029290123208137995,7.912753244573672e-07,9.573865916551375e-06,0.004075248103126921,1.653715932897093e-09,7.10076258837048e-07,0.00406567423721037,6.631279268369159e-07,-0.00017942935563856942,0.0006036293556385693,1.3697824580274783e-07,1.607034624907177e-06,0.0007830587112771389,2.64197138141985e-06,0.0,0.002331252413923167,0.0,7.752247853814591e-07,0.002331252413923167,7.752247853814591e-07,0.0,0.0033568997916458123,0.0,6.152774990875187e-07,0.0033568997916458123,6.152774990875187e-07,0.0,0.0005406817932165747,0.0,1.2935544918315636e-06,0.0005406817932165747,1.2935544918315636e-06
1000,0.0002311036789297659,0.95,0.9752,0.9752,0.2029,1.0,1.0,0.2029,3.091281058575671e-05,0.0029923731999297034,6.654155958017054e-09,1.003492006312312e-06,0.0029614603893439464,8.630562800234551e-07,1.1384749494731206e-05,0.00410727151738505,2.187071228477215e-09,7.848440285417402e-07,0.004095886767890319,7.269554580041191e-07,-0.00018899450326345643,0.0006489945032634564,1.417267528197831e-07,1.7438126905547003e-06,0.000837989006526913,2.8274788867489667e-06,0.0,0.0023643117957544363,0.0,8.533469318928627e-07,0.0023643117957544363,8.533469318928627e-07,0.0,0.0033867698333457505,0.0,6.805603968277152e-07,0.0033867698333457505,6.805603968277152e-07,0.0,0.0005816312716977593,0.0,1.406005533435652e-06,0.0005816312716977593,1.406005533435652e-06
1000,0.0002474916387959866,0.95,0.9729,0.9975,0.2185,1.0,1.0,0.2185,3.348404808994984e-05,0.0030306207539800224,7.371984520106062e-09,1.0683740509350711e-06,0.0029971367058900726,9.169487541313969e-07,1.2448486021352797e-05,0.004140938896166488,2.5315506082511454e-09,8.365275233810634e-07,0.004128490410145134,7.730278770649463e-07,-0.0002033463756416793,0.0006999463756416792,1.4957078491972928e-07,1.8518128569123403e-06,0.0009032927512833586,2.9945788436641383e-06,0.0,0.00239955244623476,0.0,9.087444017089892e-07,0.00239955244623476,9.087444017089892e-07,0.0,0.003418100543057304,0.0,7.255171247763965e-07,0.003418100543057304,7.255171247763965e-07,0.0,0.0006273335868074832,0.0,1.493601650678132e-06,0.0006273335868074832,1.493601650678132e-06
