scenario,n,np_target,p_true,rho,conf_level,n_sim,Clopper–Pearson,Clopper–Pearson__coverage,Clopper–Pearson__coverage_se,Clopper–Pearson__coverage_ci_lo,Clopper–Pearson__coverage_ci_hi,Clopper–Pearson__reject_rate,Clopper–Pearson__lb_sd,Clopper–Pearson__ub_sd,Clopper–Pearson__len_sd,Jeffreys,Jeffreys__coverage,Jeffreys__coverage_se,Jeffreys__coverage_ci_lo,Jeffreys__coverage_ci_hi,Jeffreys__reject_rate,Jeffreys__lb_sd,Jeffreys__ub_sd,Jeffreys__len_sd,Normal Approximation,Normal Approximation__coverage,Normal Approximation__coverage_se,Normal Approximation__coverage_ci_lo,Normal Approximation__coverage_ci_hi,Normal Approximation__reject_rate,Normal Approximation__lb_sd,Normal Approximation__ub_sd,Normal Approximation__len_sd
Baseline,1000,10.0,0.01,0.0,0.95,10000,"(0.013) [0.005, 0.018]",0.9774,0.0014862449327079285,0.9744869599318925,0.9803130400681076,0.0226,0.002144551889953883,0.004046378016368622,0.0019167635437724352,"(0.012) [0.005, 0.018]",0.9467,0.0022463105306257196,0.9422972313599736,0.9511027686400264,0.0533,0.0021713147473839023,0.004072303567850449,0.001914988377555057,"(0.012) [0.004, 0.016]",0.9248,0.0026371378424344836,0.9196312098288284,0.9299687901711715,0.0752,0.0021482451591251107,0.004099053853559861,0.0019731327497115136
Baseline (clustered),1000,10.0,0.01,0.05,0.95,10000,"(0.010) [0.007, 0.017]",0.2008,0.004005987518702473,0.19294826446334315,0.20865173553665686,0.7992,0.018323570903625745,0.026311379853757196,0.008706086082524286,"(0.009) [0.007, 0.016]",0.1636,0.003699122058002412,0.15634972076631526,0.17085027923368473,0.8364,0.018425743651435077,0.02647229006459207,0.008761764811151459,"(0.007) [0.007, 0.014]",0.1526,0.0035960150166538516,0.14555181056735847,0.15964818943264156,0.8474,0.018171124390144382,0.026795394974422376,0.009649582401545601
Low Default,1000,1.0,0.001,0.0,0.95,10000,"(0.005) [0.000, 0.005]",0.9818,0.0013367408125736265,0.9791799880073557,0.9844200119926443,0.0182,0.00022459729887512608,0.001691820801859721,0.0015071155602254455,"(0.004) [0.000, 0.004]",0.9818,0.0013367408125736265,0.9791799880073557,0.9844200119926443,0.0182,0.00028966955963483825,0.0018429157641277447,0.0015859554872909827,"(0.003) [0.000, 0.003]",0.6347,0.004815141846301103,0.6252623219812499,0.6441376780187502,0.3653,5.316450692437029e-05,0.0022025188087936385,0.002190876244662753
Low Default (clustered),1000,1.0,0.001,0.05,0.95,10000,"(0.004) [0.001, 0.005]",0.9551,0.0020708449966137022,0.9510411438066371,0.9591588561933628,0.0449,0.00540752160130668,0.008525014906153447,0.003360979954122422,"(0.003) [0.001, 0.004]",0.9551,0.0020708449966137022,0.9510411438066371,0.9591588561933628,0.0449,0.005459953260893142,0.008615094402453047,0.003396825167373667,"(0.001) [0.001, 0.002]",0.0399,0.001957242703396796,0.036063804301342275,0.04373619569865772,0.9601,0.005308029906370264,0.008796903373229307,0.003861872506931353
