t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_n,scenario_p
52,post_drift,normal,0.016363636363636365,0.934,0.015615124815650104,0.29,0.008575437592175005,0.02419056240782497,9.062251149586089e-06,2.385379252789867e-05,0.015615124815650104,3.542843354970753e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
53,post_drift,normal,0.01659090909090909,0.928,0.015723796100478443,0.287,0.008760101949760827,0.024483898050239174,9.525820410901203e-06,2.4950888188495553e-05,0.015723796100478443,3.6769531987977623e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
54,post_drift,normal,0.01681818181818182,0.951,0.015867198433347603,0.314,0.008958400783326236,0.024825599216673735,8.561227678577599e-06,2.2127281252497027e-05,0.015867198433347603,3.1836738621519238e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
55,post_drift,normal,0.017045454545454544,0.949,0.01596308226473731,0.358,0.009145458867631406,0.025108541132368576,9.519327437257783e-06,2.47234463750973e-05,0.01596308226473731,3.594063624712859e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
56,post_drift,normal,0.017272727272727273,0.953,0.016026190457071973,0.378,0.009245904771464052,0.025272095228535896,9.65194704660747e-06,2.4785934373758854e-05,0.016026190457071973,3.532086840730129e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
57,post_drift,normal,0.0175,0.919,0.01620219263556495,0.415,0.009566903682217588,0.025769096317782392,1.0975006489157596e-05,2.7850854092503047e-05,0.01620219263556495,3.89261716332611e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
58,post_drift,normal,0.017727272727272727,0.913,0.01624514279112463,0.426,0.009648428604437752,0.025893571395562216,1.1467898672081023e-05,2.896009319571511e-05,0.01624514279112463,4.0137477355932e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
59,post_drift,normal,0.017954545454545456,0.937,0.01638622071375077,0.446,0.009861889643124691,0.026248110356875288,1.072606604305444e-05,2.6769298905952345e-05,0.01638622071375077,3.638829898016771e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
60,post_drift,normal,0.01818181818181818,0.94,0.01649173720193071,0.452,0.010050131399034719,0.02654186860096524,1.1370003335091556e-05,2.8016770379239524e-05,0.01649173720193071,3.7240114286610573e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
61,post_drift,normal,0.01840909090909091,0.953,0.016505409975909463,0.456,0.01005429501204533,0.026559704987954652,1.0437506555147419e-05,2.5837283317058633e-05,0.016505409975909463,3.458575744418415e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
62,post_drift,normal,0.01863636363636364,0.949,0.01665464422860183,0.487,0.010333677885699171,0.026988322114300817,1.1630689520838804e-05,2.8413679671832406e-05,0.01665464422860183,3.7204223853472642e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
63,post_drift,normal,0.018863636363636364,0.933,0.016774171006582596,0.539,0.010522914496708809,0.027297085503291164,1.0719314647386505e-05,2.62114515048494e-05,0.016774171006582596,3.429932304471902e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
64,post_drift,normal,0.019090909090909092,0.95,0.01684053877121813,0.556,0.010640730614391036,0.0274812693856089,1.0606915571230444e-05,2.60363227447463e-05,0.01684053877121813,3.433360631950903e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
65,post_drift,normal,0.019318181818181818,0.933,0.016925383439330016,0.563,0.010807308280335106,0.02773269171966484,1.1409459530827506e-05,2.7847523742693643e-05,0.016925383439330016,3.637566547039987e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
66,post_drift,normal,0.019545454545454546,0.943,0.01704601187486478,0.581,0.011026994062567717,0.028073005937432314,1.2212083531522381e-05,2.9156378168453492e-05,0.01704601187486478,3.658923399962096e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
67,post_drift,normal,0.019772727272727275,0.954,0.017094859166994908,0.601,0.011114570416502639,0.028209429583497352,1.2015696897009053e-05,2.8828173212431868e-05,0.017094859166994908,3.6487162188859326e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
68,post_drift,normal,0.02,0.93,0.017220274365368597,0.613,0.011370862817315803,0.02859113718268418,1.3597652382009619e-05,3.2283210197836813e-05,0.017220274365368597,4.015169159693097e-06,68,24,1000,0.01,0.01,1000,0.95,0.050000000000000044,Baseline,1000,0.01
1,pre_drift,jeffreys,0.001,0.979,0.004267807951858531,0.021,0.00019436237239790928,0.004462170324256422,8.176396879631646e-08,3.4525841713756914e-06,0.004267807951858531,2.5682758251842156e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
2,pre_drift,jeffreys,0.001,0.979,0.004284655380383467,0.021,0.0001971637184268211,0.004481819098810272,9.068351489000308e-08,3.4968660291158265e-06,0.004284655380383467,2.569383878317743e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
3,pre_drift,jeffreys,0.001,0.976,0.004367649971492155,0.024,0.00020749084558074286,0.004575140817072875,9.23312898483226e-08,3.498139667721364e-06,0.004367649971492155,2.559322046030743e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
4,pre_drift,jeffreys,0.001,0.975,0.004378248949140986,0.025,0.00021078179432119703,0.004589030743462149,8.7990545809059e-08,3.5358698787304377e-06,0.004378248949140986,2.605437138193637e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
5,pre_drift,jeffreys,0.001,0.977,0.004350392149649751,0.023,0.00020265840730918056,0.004553050556958901,8.610716720269897e-08,3.412450984288309e-06,0.004350392149649751,2.5149918863529866e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
6,pre_drift,jeffreys,0.001,0.983,0.004321511660243193,0.017,0.00019464541594089546,0.004516157076184061,7.85277139033952e-08,3.276182302739809e-06,0.004321511660243193,2.4341389084456124e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
7,pre_drift,jeffreys,0.001,0.979,0.004280116349569973,0.021,0.0001986499217639726,0.004478766271333927,9.070472035528014e-08,3.550853763650097e-06,0.004280116349569973,2.6124359612932107e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
8,pre_drift,jeffreys,0.001,0.976,0.004358796175288883,0.024,0.00020457508382108776,0.004563371259109932,8.596452510384932e-08,3.43394268664801e-06,0.004358796175288883,2.5322288061694174e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
9,pre_drift,jeffreys,0.001,0.985,0.004292962378835221,0.015,0.0001878594666771561,0.004480821845512359,7.058070272761167e-08,3.1692386708275164e-06,0.004292962378835221,2.3821645685257805e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
10,pre_drift,jeffreys,0.001,0.981,0.0042720424177168205,0.019,0.00019696743188541612,0.004469009849602214,8.36643619643243e-08,3.5129320848747603e-06,0.0042720424177168205,2.6094687220893383e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
11,pre_drift,jeffreys,0.001,0.987,0.004270421216723809,0.013,0.00019340903455415028,0.004463830251277946,7.968800647561666e-08,3.4126979934824913e-06,0.004270421216723809,2.5441394141800444e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
12,pre_drift,jeffreys,0.001,0.984,0.004275654990291674,0.016,0.00019163182854869222,0.004467286818840339,8.002879372187623e-08,3.35099059831487e-06,0.004275654990291674,2.494825477045534e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
13,pre_drift,jeffreys,0.001,0.985,0.004325007039404341,0.015,0.00020012626867743044,0.004525133308081747,8.641198046503925e-08,3.4305028473106886e-06,0.004325007039404341,2.5293644548457708e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
14,pre_drift,jeffreys,0.001,0.979,0.004247869368504402,0.021,0.00018536805755911168,0.004433237426063493,8.104586587516501e-08,3.2760944899789826e-06,0.004247869368504402,2.4290637067641614e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
15,pre_drift,jeffreys,0.001,0.984,0.0042655629334241805,0.016,0.00018713808399791493,0.004452701017422081,7.837804466603055e-08,3.2594733940395316e-06,0.0042655629334241805,2.4268897436229997e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
16,pre_drift,jeffreys,0.001,0.975,0.004301607689586647,0.025,0.0001995572164901422,0.00450116490607677,9.753022543626855e-08,3.525250037037825e-06,0.004301607689586647,2.5706837834983433e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
17,pre_drift,jeffreys,0.001,0.979,0.004411594855701439,0.021,0.0002185091996316732,0.004630104055333081,1.1118248433892033e-07,3.687756416167201e-06,0.004411594855701439,2.653303122005625e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
18,pre_drift,jeffreys,0.001,0.975,0.004356839697481256,0.025,0.00020944265021035732,0.004566282347691596,9.422823497470425e-08,3.5922400848520967e-06,0.004356839697481256,2.6308988804859782e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
19,pre_drift,jeffreys,0.001,0.979,0.004215606112186048,0.021,0.00019419877405474855,0.00440980488624078,9.455071314772538e-08,3.64740024233173e-06,0.004215606112186048,2.6793554111408483e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
20,pre_drift,jeffreys,0.001,0.979,0.004340928633004044,0.021,0.0002025488283647826,0.0045434774613688075,8.413419635418386e-08,3.4354756243668805e-06,0.004340928633004044,2.541074340981638e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
21,pre_drift,jeffreys,0.001,0.976,0.0043040888181639725,0.024,0.00019911062800441926,0.004503199446168373,8.646240075754982e-08,3.4739936913434077e-06,0.0043040888181639725,2.5658610490930863e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
22,pre_drift,jeffreys,0.001,0.975,0.0042728996150103215,0.025,0.00019296346555779475,0.0044658630805680995,8.626108913423546e-08,3.4124337426002037e-06,0.0042728996150103215,2.5186156358497553e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
23,pre_drift,jeffreys,0.001,0.989,0.0042032340665236504,0.011,0.00017845193186605374,0.004381685998389691,7.530104111158777e-08,3.2146922521752166e-06,0.0042032340665236504,2.4083605478820178e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
24,pre_drift,jeffreys,0.001,0.987,0.0042580613572887295,0.013,0.00018623217552068356,0.004444293532809396,7.453654828706482e-08,3.248709823239117e-06,0.0042580613572887295,2.433634923959615e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
25,post_drift,jeffreys,0.0010227272727272728,0.983,0.004381236211983462,0.017,0.00019934911193751628,0.004580585323920958,8.647885242649902e-08,3.22316043239322e-06,0.004381236211983462,2.365433899231593e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
26,post_drift,jeffreys,0.0010454545454545454,0.98,0.004374566307587763,0.02,0.00020494339337823962,0.0045795097009659665,8.918829055986994e-08,3.3994930438239374e-06,0.004374566307587763,2.493929955550095e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
27,post_drift,jeffreys,0.0010681818181818182,0.982,0.004423110295631545,0.018,0.00021481394218201365,0.004637924237813521,8.836709421086987e-08,3.485370114027823e-06,0.004423110295631545,2.561717071994222e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
28,post_drift,jeffreys,0.001090909090909091,0.973,0.00450839750702639,0.027,0.00023925324632408503,0.004747650753350419,1.0529860027033444e-07,3.8603260505127e-06,0.00450839750702639,2.7956180891747376e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
29,post_drift,jeffreys,0.0011136363636363637,0.977,0.004416560257584586,0.023,0.0002189629910950688,0.0046355232486796245,9.617428905078689e-08,3.6390770732641224e-06,0.004416560257584586,2.655904531255338e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
30,post_drift,jeffreys,0.0011363636363636363,0.977,0.00451937438033123,0.023,0.000238751166917076,0.004758125547248261,1.0570650996135761e-07,3.8069363907886834e-06,0.00451937438033123,2.7519367110106215e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
31,post_drift,jeffreys,0.001159090909090909,0.967,0.004582116209093141,0.033,0.00025172876180565117,0.004833844970898753,1.19653204950406e-07,3.942205018496802e-06,0.004582116209093141,2.805583960659384e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
32,post_drift,jeffreys,0.0011818181818181819,0.965,0.0045836382382289514,0.035,0.0002597080235659716,0.004843346261794873,1.338089668398588e-07,4.183323237737361e-06,0.0045836382382289514,2.949881937606924e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
33,post_drift,jeffreys,0.0012045454545454547,0.953,0.0045864171294242445,0.047,0.0002583020541962428,0.004844719183620435,1.3485626344893305e-07,4.139101501457174e-06,0.0045864171294242445,2.9040944479634523e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
34,post_drift,jeffreys,0.0012272727272727272,0.971,0.004609505857719256,0.029,0.00024336109982936444,0.004852866957548569,1.0466642131602162e-07,3.576125275238304e-06,0.004609505857719256,2.5664659690433787e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
35,post_drift,jeffreys,0.00125,0.963,0.004727861879335739,0.037,0.00028160955178540225,0.005009471431121074,1.4147298641138872e-07,4.178777145504104e-06,0.004727861879335739,2.9102533775497367e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
36,post_drift,jeffreys,0.0012727272727272728,0.956,0.00474708089583826,0.044,0.00028879133358673137,0.005035872229424932,1.4391595735692915e-07,4.287497440574363e-06,0.00474708089583826,2.987272048855191e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
37,post_drift,jeffreys,0.0012954545454545454,0.962,0.004712322302954212,0.038,0.0002779777590249137,0.004990300061979068,1.3852128045968603e-07,4.142472844911184e-06,0.004712322302954212,2.892236549393787e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
38,post_drift,jeffreys,0.0013181818181818182,0.957,0.0048088366859732334,0.043,0.0002906712539641318,0.005099507939937307,1.3300187261735462e-07,4.033786222734639e-06,0.0048088366859732334,2.8173581063597313e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
39,post_drift,jeffreys,0.001340909090909091,0.957,0.004835344083326266,0.043,0.0002998375358268748,0.005135181619153073,1.463377596909343e-07,4.187028265219662e-06,0.004835344083326266,2.8931362569274474e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
40,post_drift,jeffreys,0.0013636363636363637,0.982,0.004878057385685156,0.053,0.0003129729460483205,0.00519103033173341,1.785596692326216e-07,4.419826975628631e-06,0.004878057385685156,2.9703414075532465e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
41,post_drift,jeffreys,0.0013863636363636365,0.989,0.004885559154437808,0.045,0.00030749295124672855,0.005193052105684464,1.4452676027277525e-07,4.1480426669358125e-06,0.004885559154437808,2.866013351429421e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
42,post_drift,jeffreys,0.001409090909090909,0.985,0.0048931785150842155,0.06,0.0003203585021674072,0.005213537017251551,1.6704792688490072e-07,4.505512745655134e-06,0.0048931785150842155,3.071427220320852e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
43,post_drift,jeffreys,0.0014318181818181819,0.983,0.005003085471260496,0.063,0.00034116161923618423,0.005344247090496598,1.767289408104184e-07,4.533836296765944e-06,0.005003085471260496,3.0561912665367774e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
44,post_drift,jeffreys,0.0014545454545454545,0.989,0.005022103604992861,0.051,0.0003339869943652105,0.005356090599357999,1.5186361568524028e-07,4.184681004643691e-06,0.005022103604992861,2.8538050918574163e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
45,post_drift,jeffreys,0.0014772727272727272,0.98,0.004973508047312618,0.068,0.00033445874526502,0.005307966792577567,1.890422246818464e-07,4.542501702245257e-06,0.004973508047312618,3.0147074415916037e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
46,post_drift,jeffreys,0.0015,0.981,0.005014995467148074,0.068,0.0003507972044395432,0.00536579267158754,1.950050406148233e-07,4.769919080706504e-06,0.005014995467148074,3.181673748272673e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
47,post_drift,jeffreys,0.0015227272727272728,0.98,0.005059073257079799,0.065,0.0003564449284242638,0.005415518185503981,1.8839537858524705e-07,4.673410211343854e-06,0.005059073257079799,3.123305088359656e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
48,post_drift,jeffreys,0.0015454545454545456,0.98,0.005083086230220468,0.078,0.0003614307867312346,0.005444517016951636,1.9446500430770261e-07,4.694848164265065e-06,0.005083086230220468,3.1171416499979657e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
49,post_drift,jeffreys,0.0015681818181818184,0.978,0.005095179039195906,0.06,0.0003584911596783387,0.0054536701988741575,1.8616046629020862e-07,4.533957078020242e-06,0.005095179039195906,3.0186178367612854e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
50,post_drift,jeffreys,0.001590909090909091,0.976,0.00519783874887592,0.073,0.0003853995934329685,0.005583238342308813,1.9909610326980916e-07,4.706056052833875e-06,0.00519783874887592,3.1032718411282012e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
51,post_drift,jeffreys,0.0016136363636363635,0.974,0.005161062989421322,0.087,0.0003841165269850846,0.005545179516406322,2.1450217745172919e-07,4.916284723116081e-06,0.005161062989421322,3.2196787990563664e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
52,post_drift,jeffreys,0.0016363636363636363,0.986,0.005132708684924155,0.064,0.00036094249140057925,0.005493651176324648,1.8826551597767707e-07,4.4061021929926425e-06,0.005132708684924155,2.9111277969342693e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
53,post_drift,jeffreys,0.001659090909090909,0.976,0.005217118932812168,0.081,0.000389497281280577,0.0056066162140926586,2.033502457675217e-07,4.716886125384218e-06,0.005217118932812168,3.0957104271598932e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
54,post_drift,jeffreys,0.001681818181818182,0.975,0.005382913369420135,0.1,0.00042778009624230276,0.005810693465662348,2.2723137669685207e-07,4.802407270567571e-06,0.005382913369420135,3.070767938010697e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
55,post_drift,jeffreys,0.0017045454545454547,0.977,0.005279762541916388,0.083,0.0004085363796194493,0.005688298921535758,2.393680991519539e-07,4.9460607680919776e-06,0.005279762541916388,3.1735384288312055e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
56,post_drift,jeffreys,0.0017272727272727275,0.973,0.005316668122430843,0.096,0.000419783077761484,0.005736451200192236,2.3582257316410392e-07,5.011454584193967e-06,0.005316668122430843,3.2191954759702604e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
57,post_drift,jeffreys,0.00175,0.959,0.005352783519310004,0.107,0.00044493108642536255,0.005797714605735283,2.819780997062586e-07,5.563743971462345e-06,0.005352783519310004,3.504965169090167e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
58,post_drift,jeffreys,0.0017727272727272728,0.964,0.005396654260177167,0.107,0.0004407830209411725,0.005837437281118249,2.8218164535804267e-07,5.204010211681293e-06,0.005396654260177167,3.2251536113268654e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
59,post_drift,jeffreys,0.0017954545454545454,0.962,0.005501140080041459,0.111,0.00046619635671845864,0.005967336436759811,2.644944053466481e-07,5.153310502055724e-06,0.005501140080041459,3.2316442525039013e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
60,post_drift,jeffreys,0.0018181818181818182,0.964,0.005527248716640601,0.12,0.0004716518543673362,0.005998900571007839,2.7325327445560643e-07,5.151233838652216e-06,0.005527248716640601,3.1936079237195785e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
61,post_drift,jeffreys,0.001840909090909091,0.958,0.005591218479174986,0.129,0.0004959554162583089,0.006087173895433195,2.995238788370104e-07,5.423907659652671e-06,0.005591218479174986,3.329891166779939e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
62,post_drift,jeffreys,0.0018636363636363638,0.968,0.005460790299159064,0.107,0.00045704878291020817,0.005917839082069179,2.5399053842614535e-07,5.142415582157899e-06,0.005460790299159064,3.256479180701795e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
63,post_drift,jeffreys,0.0018863636363636365,0.965,0.005627945252372439,0.12,0.0005003816845059306,0.006128326936878267,2.796220185608077e-07,5.2362426101942045e-06,0.005627945252372439,3.248018295261946e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
64,post_drift,jeffreys,0.0019090909090909091,0.95,0.005627166865749758,0.141,0.0005208694189806408,0.006148036284730298,3.3027413459175386e-07,5.894306110292457e-06,0.005627166865749758,3.59982955191884e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
65,post_drift,jeffreys,0.001931818181818182,0.984,0.0056786824870467805,0.147,0.0005288672913438473,0.006207549778390529,3.194545665085989e-07,5.722509005147829e-06,0.0056786824870467805,3.493852224278901e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
66,post_drift,jeffreys,0.0019545454545454545,0.985,0.005713179553505474,0.135,0.0005263670778562639,0.006239546631361621,3.118943369069919e-07,5.405979325283289e-06,0.005713179553505474,3.268467808426765e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
67,post_drift,jeffreys,0.0019772727272727277,0.985,0.005682700477189812,0.145,0.000522698868169585,0.006205399345359293,3.203529370558689e-07,5.544704859084443e-06,0.005682700477189812,3.3473744413794126e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
68,post_drift,jeffreys,0.002,0.984,0.005671754647580567,0.14,0.0005194875328506155,0.006191242180431085,3.0644532227711135e-07,5.498947914737318e-06,0.005671754647580567,3.3542778706975297e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
1,pre_drift,cp,0.001,0.979,0.005321231783689694,0.021,0.00011394813610518545,0.005435179919794913,4.807969374633881e-08,2.905115866710561e-06,0.005321231783689694,2.3172363680623554e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
2,pre_drift,cp,0.001,0.979,0.0053359379759541,0.021,0.00011649066808353766,0.005452428644037675,5.5558952036712545e-08,2.9545154359678355e-06,0.0053359379759541,2.3237242010701092e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
3,pre_drift,cp,0.001,0.976,0.00541385447867204,0.024,0.00012291656338014244,0.005536771042052222,5.655781690419476e-08,2.9622294175808356e-06,0.00541385447867204,2.3204360023056753e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
4,pre_drift,cp,0.001,0.975,0.005425668209854828,0.025,0.0001251639409062572,0.005550832150761123,5.230734798118361e-08,2.987927927754692e-06,0.005425668209854828,2.360736958278742e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
5,pre_drift,cp,0.001,0.977,0.005397147243828429,0.023,0.00011882200328389857,0.005515969247112363,5.182957659352855e-08,2.8822700043066432e-06,0.005397147243828429,2.2760240911968074e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
6,pre_drift,cp,0.001,0.983,0.0053684163922192284,0.017,0.00011239355511870902,0.0054808099473379794,4.620964742130907e-08,2.7593574809848657e-06,0.0053684163922192284,2.198135720036675e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
7,pre_drift,cp,0.001,0.979,0.005332797191814,0.021,0.00011794709482443475,0.005450744286638477,5.5117961032697254e-08,2.9990094350049823e-06,0.005332797191814,2.362690269064525e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
8,pre_drift,cp,0.001,0.976,0.005405566823395229,0.024,0.00012022101677184025,0.0055257878401671085,5.146495850066263e-08,2.900273667199595e-06,0.005405566823395229,2.2921516044888922e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
9,pre_drift,cp,0.001,0.985,0.005341374960280431,0.015,0.00010668243750229235,0.00544805739778276,4.040299078629354e-08,2.6575234484117367e-06,0.005341374960280431,2.1440672209823257e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
10,pre_drift,cp,0.001,0.981,0.005326087494140799,0.019,0.00011621500765180104,0.005442302501792638,4.9249487779827076e-08,2.9575713619861785e-06,0.005326087494140799,2.3558718540401828e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
11,pre_drift,cp,0.001,0.987,0.005323256794019945,0.013,0.00011292848917919796,0.0054361852831991825,4.6535646164229875e-08,2.869643999292105e-06,0.005323256794019945,2.294706240852643e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
12,pre_drift,cp,0.001,0.984,0.005327066462677676,0.016,0.00011107067551259369,0.0054381371381903056,4.752475880989698e-08,2.8182653264764226e-06,0.005327066462677676,2.2492320109813515e-06,68,24,1000,0.001,0.001,1000,0.95,0.050000000000000044,Low Default,1000,0.001
