t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
27,post_drift,jeffreys,0.010681818181818181,0.9581,0.012785303047505197,0.0634,0.00572757218706867,0.018512875234572238,5.225855573634914e-06,1.751725945374602e-05,0.012785303047505197,3.659365069735984e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
28,post_drift,jeffreys,0.01090909090909091,0.9589,0.012891117724363675,0.065,0.0058572634159589285,0.01874838114032106,5.393978892769714e-06,1.7868593000594632e-05,0.012891117724363675,3.678263294560187e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
29,post_drift,jeffreys,0.011136363636363637,0.9452,0.013023454756267842,0.0736,0.00602139147072971,0.019044846226995968,5.613311208805947e-06,1.8317132722338444e-05,0.013023454756267842,3.697656815042068e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
30,post_drift,jeffreys,0.011363636363636364,0.9486,0.013138937070728702,0.0772,0.006158629491444489,0.0192975665621717,5.622233917892585e-06,1.811985719841157e-05,0.013138937070728702,3.600255029177497e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
31,post_drift,jeffreys,0.011590909090909091,0.9475,0.013288763406116292,0.091,0.006350596077667024,0.019639359483781864,5.857572631996618e-06,1.8617484588387824e-05,0.013288763406116292,3.6350063203402082e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
32,post_drift,jeffreys,0.011818181818181818,0.9411,0.013431745326290465,0.1007,0.006543460211541514,0.019975205537830623,6.191275084814725e-06,1.9498529123911524e-05,0.013431745326290465,3.766188102670014e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
33,post_drift,jeffreys,0.012045454545454545,0.9561,0.013532935143858905,0.1108,0.006670372782183534,0.02020330792604117,6.2464527977990325e-06,1.9439792282484737e-05,0.013532935143858905,3.694617073620902e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
34,post_drift,jeffreys,0.012272727272727274,0.959,0.01361545057881843,0.1103,0.006774586170171433,0.020390036748988653,6.240222409889511e-06,1.9294739728798556e-05,0.01361545057881843,3.632485278633489e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
35,post_drift,jeffreys,0.0125,0.9406,0.013824513394881055,0.139,0.007051162235865203,0.02087567563074497,6.513093518559504e-06,1.9683617186728748e-05,0.013824513394881055,3.5918402405670923e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
36,post_drift,jeffreys,0.012727272727272728,0.9493,0.013940603481448332,0.1532,0.007215067723697106,0.021155671205144316,6.790434487382922e-06,2.0369262928830137e-05,0.013940603481448332,3.6805120370645415e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
37,post_drift,jeffreys,0.012954545454545455,0.9475,0.014040282857172053,0.165,0.007354060796950514,0.021394343654121604,6.953092956041491e-06,2.0715630463454915e-05,0.014040282857172053,3.710148580597617e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
38,post_drift,jeffreys,0.013181818181818182,0.95,0.014155610901368786,0.1784,0.007508794466137543,0.02166440536750529,6.9904030662630706e-06,2.0601261893311536e-05,0.014155610901368786,3.631576871470575e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
