n,p_true,np_target,rho,method,coverage,avg_length,reject_star_rate,conf_level,n_sim
50,0.0002,0.01,0.2,cp,0.998,0.07127883868847348,0.002,0.95,5000
50,0.0002,0.01,0.2,normal,0.0014,0.00023107975143390043,0.9986,0.95,5000
50,0.0004,0.02,0.0,jeffreys,0.9826,0.04942320172312766,0.0174,0.95,5000
50,0.0004,0.02,0.0,cp,0.9826,0.07172797997819179,0.0174,0.95,5000
50,0.0004,0.02,0.0,normal,0.0174,0.0010232123432231625,0.9826,0.95,5000
50,0.0004,0.02,0.01,jeffreys,0.9828,0.04950702086035625,0.0172,0.95,5000
50,0.0004,0.02,0.01,cp,0.9828,0.07181272058572949,0.0172,0.95,5000
50,0.0004,0.02,0.01,normal,0.017,0.0011363015474492094,0.983,0.95,5000
50,0.0004,0.02,0.02,jeffreys,0.986,0.04943508207643697,0.014,0.95,5000
50,0.0004,0.02,0.02,cp,0.986,0.07175349403942798,0.014,0.95,5000
50,0.0004,0.02,0.02,normal,0.0134,0.001019961187807098,0.9866,0.95,5000
50,0.0004,0.02,0.05,jeffreys,0.9886,0.04940052118774796,0.0114,0.95,5000
50,0.0004,0.02,0.05,cp,0.9886,0.07172943384662006,0.0114,0.95,5000
50,0.0004,0.02,0.05,normal,0.01,0.0009620588212786546,0.99,0.95,5000
50,0.0004,0.02,0.1,jeffreys,0.9942,0.049196759667729455,0.0058,0.95,5000
50,0.0004,0.02,0.1,cp,0.9942,0.07154765374781205,0.0058,0.95,5000
50,0.0004,0.02,0.1,normal,0.004,0.0006408695583051425,0.996,0.95,5000
50,0.0004,0.02,0.15,jeffreys,0.993,0.04929816503178496,0.007,0.95,5000
50,0.0004,0.02,0.15,cp,0.993,0.0716444852274074,0.007,0.95,5000
50,0.0004,0.02,0.15,normal,0.005,0.0007799520057433663,0.995,0.95,5000
50,0.0004,0.02,0.2,jeffreys,0.9964,0.04900863626916527,0.0036,0.95,5000
50,0.0004,0.02,0.2,cp,0.9964,0.07136788151112444,0.0036,0.95,5000
50,0.0004,0.02,0.2,normal,0.0028,0.0003752419709785494,0.9972,0.95,5000
50,0.0006,0.03,0.0,jeffreys,0.968,0.04999967760942732,0.032,0.95,5000
50,0.0006,0.03,0.0,cp,0.9996,0.07224718421442984,0.0004,0.95,5000
50,0.0006,0.03,0.0,normal,0.032,0.001895974149878852,0.968,0.95,5000
50,0.0006,0.03,0.01,jeffreys,0.976,0.04979277946200603,0.024,0.95,5000
50,0.0006,0.03,0.01,cp,0.9964,0.07207186764697707,0.0036,0.95,5000
50,0.0006,0.03,0.01,normal,0.0236,0.0015678997722578867,0.9764,0.95,5000
50,0.0006,0.03,0.02,jeffreys,0.9778,0.04990685469737864,0.0222,0.95,5000
50,0.0006,0.03,0.02,cp,0.9922,0.07219347057799048,0.0078,0.95,5000
50,0.0006,0.03,0.02,normal,0.0204,0.0017177448935812396,0.9796,0.95,5000
50,0.0006,0.03,0.05,jeffreys,0.9842,0.04969440275934909,0.0158,0.95,5000
50,0.0006,0.03,0.05,cp,0.9936,0.07200629605176219,0.0064,0.95,5000
50,0.0006,0.03,0.05,normal,0.014,0.0013769737862140764,0.986,0.95,5000
50,0.0006,0.03,0.1,jeffreys,0.9896,0.04952383507593987,0.0104,0.95,5000
50,0.0006,0.03,0.1,cp,0.9946,0.07185700700965852,0.0054,0.95,5000
50,0.0006,0.03,0.1,normal,0.0078,0.0010963925475998757,0.9922,0.95,5000
50,0.0006,0.03,0.15,jeffreys,0.9928,0.04939633405758677,0.0072,0.95,5000
50,0.0006,0.03,0.15,cp,0.9952,0.0717421132159681,0.0048,0.95,5000
50,0.0006,0.03,0.15,normal,0.0044,0.0009070321546398816,0.9956,0.95,5000
50,0.0006,0.03,0.2,jeffreys,0.993,0.04933143014510507,0.007,0.95,5000
50,0.0006,0.03,0.2,cp,0.9958,0.0716778759924376,0.0042,0.95,5000
50,0.0006,0.03,0.2,normal,0.0044,0.0008247839199550473,0.9956,0.95,5000
50,0.0008,0.04,0.0,jeffreys,0.9582,0.05039008068404273,0.0418,0.95,5000
50,0.0008,0.04,0.0,cp,0.9992,0.07259914886059944,0.0008,0.95,5000
50,0.0008,0.04,0.0,normal,0.0418,0.002486470482541947,0.9582,0.95,5000
50,0.0008,0.04,0.01,jeffreys,0.97,0.05003539254610482,0.03,0.95,5000
50,0.0008,0.04,0.01,cp,0.996,0.07229094708268873,0.004,0.95,5000
50,0.0008,0.04,0.01,normal,0.0298,0.0019332051814882848,0.9702,0.95,5000
50,0.0008,0.04,0.02,jeffreys,0.9704,0.05024698443041981,0.0296,0.95,5000
50,0.0008,0.04,0.02,cp,0.9912,0.07250469069175856,0.0088,0.95,5000
50,0.0008,0.04,0.02,normal,0.0276,0.0022224506759567233,0.9724,0.95,5000
50,0.0008,0.04,0.05,jeffreys,0.984,0.0497014374992483,0.016,0.95,5000
50,0.0008,0.04,0.05,cp,0.9934,0.07201259229536759,0.0066,0.95,5000
50,0.0008,0.04,0.05,normal,0.0138,0.001397616434434736,0.9862,0.95,5000
50,0.0008,0.04,0.1,jeffreys,0.9862,0.049755815999854264,0.0138,0.95,5000
50,0.0008,0.04,0.1,cp,0.9916,0.07207595232101031,0.0084,0.95,5000
50,0.0008,0.04,0.1,normal,0.0104,0.0014480990048927572,0.9896,0.95,5000
50,0.0008,0.04,0.15,jeffreys,0.9908,0.049497687106468055,0.0092,0.95,5000
50,0.0008,0.04,0.15,cp,0.9944,0.07183568096163717,0.0056,0.95,5000
50,0.0008,0.04,0.15,normal,0.0062,0.0010610797709277697,0.9938,0.95,5000
50,0.0008,0.04,0.2,jeffreys,0.991,0.04966988009991906,0.009,0.95,5000
50,0.0008,0.04,0.2,cp,0.9934,0.07200904566503699,0.0066,0.95,5000
50,0.0008,0.04,0.2,normal,0.005,0.0012627723661026598,0.995,0.95,5000
50,0.001,0.05,0.0,jeffreys,0.95,0.050702702861956724,0.05,0.95,5000
50,0.001,0.05,0.0,cp,0.9994,0.07287959125207655,0.0006,0.95,5000
50,0.001,0.05,0.0,normal,0.05,0.0029615718389818576,0.95,0.95,5000
50,0.001,0.05,0.01,jeffreys,0.9586,0.0505764603922286,0.0414,0.95,5000
50,0.001,0.05,0.01,cp,0.993,0.07278748495961013,0.007,0.95,5000
50,0.001,0.05,0.01,normal,0.0408,0.0027419709442769793,0.9592,0.95,5000
50,0.001,0.05,0.02,jeffreys,0.9686,0.050258443257237946,0.0314,0.95,5000
50,0.001,0.05,0.02,cp,0.9908,0.07250883256905673,0.0092,0.95,5000
50,0.001,0.05,0.02,normal,0.031,0.00224921729639844,0.969,0.95,5000
50,0.001,0.05,0.05,jeffreys,0.9786,0.049996791419024,0.0214,0.95,5000
50,0.001,0.05,0.05,cp,0.991,0.07228692118779348,0.009,0.95,5000
50,0.001,0.05,0.05,normal,0.0186,0.001830734126279362,0.9814,0.95,5000
50,0.001,0.05,0.1,jeffreys,0.982,0.049958301301226,0.018,0.95,5000
50,0.001,0.05,0.1,cp,0.9918,0.07226199268759331,0.0082,0.95,5000
50,0.001,0.05,0.1,normal,0.015,0.001733166979200889,0.985,0.95,5000
50,0.001,0.05,0.15,jeffreys,0.9882,0.049639339409938234,0.0118,0.95,5000
50,0.001,0.05,0.15,cp,0.9924,0.0719671466387993,0.0076,0.95,5000
50,0.001,0.05,0.15,normal,0.0094,0.001268701718019954,0.9906,0.95,5000
50,0.001,0.05,0.2,jeffreys,0.9886,0.04998868771150358,0.0114,0.95,5000
50,0.001,0.05,0.2,cp,0.991,0.07231899224815014,0.009,0.95,5000
50,0.001,0.05,0.2,normal,0.0058,0.0016902537789034338,0.9942,0.95,5000
50,0.0014000000000000002,0.07,0.0,jeffreys,0.934,0.05138597207213081,0.066,0.95,5000
50,0.0014000000000000002,0.07,0.0,cp,0.997,0.07350015945098329,0.003,0.95,5000
50,0.0014000000000000002,0.07,0.0,normal,0.066,0.003987682691859786,0.934,0.95,5000
50,0.0014000000000000002,0.07,0.01,jeffreys,0.949,0.05110041902645873,0.051,0.95,5000
50,0.0014000000000000002,0.07,0.01,cp,0.9882,0.07327404614377257,0.0118,0.95,5000
50,0.0014000000000000002,0.07,0.01,normal,0.0502,0.0035134414308479684,0.9498,0.95,5000
50,0.0014000000000000002,0.07,0.02,jeffreys,0.9488,0.05123683467821354,0.0512,0.95,5000
