n,p_true,np_target,rho,method,coverage,avg_length,reject_star_rate,conf_level,n_sim
50,0.008,0.4,0.1,jeffreys,0.9244,0.05884882146497697,0.0756,0.95,5000
50,0.008,0.4,0.1,cp,0.947,0.08072857426602577,0.053,0.95,5000
50,0.008,0.4,0.1,normal,0.0988,0.014359869939583313,0.9012,0.95,5000
50,0.008,0.4,0.15,jeffreys,0.9346,0.05773508877718477,0.0654,0.95,5000
50,0.008,0.4,0.15,cp,0.9498,0.07971484853235676,0.0502,0.95,5000
50,0.008,0.4,0.15,normal,0.073,0.012615231748984785,0.927,0.95,5000
50,0.008,0.4,0.2,jeffreys,0.9394,0.056796888157163085,0.0606,0.95,5000
50,0.008,0.4,0.2,cp,0.9562,0.07883341050663617,0.0438,0.95,5000
50,0.008,0.4,0.2,normal,0.061,0.011229667850989541,0.939,0.95,5000
50,0.009000000000000001,0.45,0.0,jeffreys,0.9894,0.06508279248726569,0.0106,0.95,5000
50,0.009000000000000001,0.45,0.0,cp,0.9894,0.08603919052326682,0.0106,0.95,5000
50,0.009000000000000001,0.45,0.0,normal,0.362,0.024439440122539,0.638,0.95,5000
50,0.009000000000000001,0.45,0.01,jeffreys,0.9734,0.06429005346926595,0.0266,0.95,5000
50,0.009000000000000001,0.45,0.01,cp,0.9734,0.08542681038562971,0.0266,0.95,5000
50,0.009000000000000001,0.45,0.01,normal,0.313,0.023132485682219563,0.687,0.95,5000
50,0.009000000000000001,0.45,0.02,jeffreys,0.9554,0.06345670906267147,0.0446,0.95,5000
50,0.009000000000000001,0.45,0.02,cp,0.9554,0.08476776626011079,0.0446,0.95,5000
50,0.009000000000000001,0.45,0.02,normal,0.2634,0.021759783922930872,0.7366,0.95,5000
50,0.009000000000000001,0.45,0.05,jeffreys,0.9478,0.06073675854698224,0.0522,0.95,5000
50,0.009000000000000001,0.45,0.05,cp,0.9478,0.08236996127561477,0.0522,0.95,5000
50,0.009000000000000001,0.45,0.05,normal,0.1714,0.017493592260580944,0.8286,0.95,5000
50,0.009000000000000001,0.45,0.1,jeffreys,0.946,0.059494676609226665,0.054,0.95,5000
50,0.009000000000000001,0.45,0.1,cp,0.946,0.08133079458196116,0.054,0.95,5000
50,0.009000000000000001,0.45,0.1,normal,0.1126,0.015313503269102406,0.8874,0.95,5000
50,0.009000000000000001,0.45,0.15,jeffreys,0.9482,0.05862316203622653,0.0518,0.95,5000
50,0.009000000000000001,0.45,0.15,cp,0.9482,0.08055984748948984,0.0518,0.95,5000
50,0.009000000000000001,0.45,0.15,normal,0.0818,0.013852323089454893,0.9182,0.95,5000
50,0.009000000000000001,0.45,0.2,jeffreys,0.9546,0.05721552394444005,0.0454,0.95,5000
50,0.009000000000000001,0.45,0.2,cp,0.9546,0.07924577803007905,0.0454,0.95,5000
50,0.009000000000000001,0.45,0.2,normal,0.06,0.011725233627596272,0.94,0.95,5000
50,0.01,0.5,0.0,jeffreys,0.9882,0.06676328950212078,0.0118,0.95,5000
50,0.01,0.5,0.0,cp,0.9882,0.0875740975071119,0.0118,0.95,5000
50,0.01,0.5,0.0,normal,0.3992,0.026953274046101507,0.6008,0.95,5000
50,0.01,0.5,0.01,jeffreys,0.9656,0.0646359979759848,0.0344,0.95,5000
50,0.01,0.5,0.01,cp,0.9656,0.08577143526232023,0.0344,0.95,5000
50,0.01,0.5,0.01,normal,0.3144,0.023635192929673345,0.6856,0.95,5000
50,0.01,0.5,0.02,jeffreys,0.9524,0.0649283125501996,0.0476,0.95,5000
50,0.01,0.5,0.02,cp,0.9524,0.08613410891426002,0.0476,0.95,5000
50,0.01,0.5,0.02,normal,0.2926,0.023953026174320498,0.7074,0.95,5000
50,0.01,0.5,0.05,jeffreys,0.9328,0.06333352108626301,0.0672,0.95,5000
50,0.01,0.5,0.05,cp,0.9328,0.08485277928643632,0.0672,0.95,5000
50,0.01,0.5,0.05,normal,0.1954,0.021197237516168164,0.8046,0.95,5000
50,0.01,0.5,0.1,jeffreys,0.9346,0.060847396156260676,0.0654,0.95,5000
50,0.01,0.5,0.1,cp,0.9346,0.08261569731608306,0.0654,0.95,5000
50,0.01,0.5,0.1,normal,0.126,0.01727924632175502,0.874,0.95,5000
50,0.01,0.5,0.15,jeffreys,0.9464,0.05863540000410562,0.0536,0.95,5000
50,0.01,0.5,0.15,cp,0.9464,0.08054578703466016,0.0536,0.95,5000
50,0.01,0.5,0.15,normal,0.0928,0.014009484021178298,0.9072,0.95,5000
50,0.01,0.5,0.2,jeffreys,0.9486,0.05847249494012426,0.0514,0.95,5000
50,0.01,0.5,0.2,cp,0.9486,0.08041925807293014,0.0514,0.95,5000
50,0.01,0.5,0.2,normal,0.0798,0.013605833531800048,0.9202,0.95,5000
50,0.012,0.6,0.0,jeffreys,0.9792,0.0704881130858895,0.0208,0.95,5000
50,0.012,0.6,0.0,cp,0.9792,0.09104307958503594,0.0208,0.95,5000
50,0.012,0.6,0.0,normal,0.4648,0.03244786633389215,0.5352,0.95,5000
50,0.012,0.6,0.01,jeffreys,0.9502,0.06913114268300063,0.0498,0.95,5000
50,0.012,0.6,0.01,cp,0.9502,0.08996147904468861,0.0498,0.95,5000
50,0.012,0.6,0.01,normal,0.3916,0.03027774723550657,0.6084,0.95,5000
50,0.012,0.6,0.02,jeffreys,0.9344,0.06846283625593871,0.0656,0.95,5000
50,0.012,0.6,0.02,cp,0.9344,0.08947319882235395,0.0656,0.95,5000
50,0.012,0.6,0.02,normal,0.339,0.029101435662969147,0.661,0.95,5000
50,0.012,0.6,0.05,jeffreys,0.9188,0.0663859375135147,0.0812,0.95,5000
50,0.012,0.6,0.05,cp,0.9188,0.08772021385239986,0.0812,0.95,5000
50,0.012,0.6,0.05,normal,0.2358,0.025638250902111703,0.7642,0.95,5000
50,0.012,0.6,0.1,jeffreys,0.921,0.06382162715303795,0.079,0.95,5000
50,0.012,0.6,0.1,cp,0.921,0.08544536260354808,0.079,0.95,5000
50,0.012,0.6,0.1,normal,0.157,0.021521452736402706,0.843,0.95,5000
50,0.012,0.6,0.15,jeffreys,0.9296,0.061626460018339414,0.0704,0.95,5000
50,0.012,0.6,0.15,cp,0.9296,0.08343654296709717,0.0704,0.95,5000
50,0.012,0.6,0.15,normal,0.1076,0.018066538319327047,0.8924,0.95,5000
50,0.012,0.6,0.2,jeffreys,0.9394,0.05984921224367814,0.0606,0.95,5000
50,0.012,0.6,0.2,cp,0.9394,0.08176970795539981,0.0606,0.95,5000
50,0.012,0.6,0.2,normal,0.0792,0.015430073374010417,0.9208,0.95,5000
50,0.013999999999999999,0.7,0.0,jeffreys,0.9702,0.07307724566391384,0.0298,0.95,5000
50,0.013999999999999999,0.7,0.0,cp,0.9948,0.09347969784661958,0.0052,0.95,5000
50,0.013999999999999999,0.7,0.0,normal,0.5042,0.03623552507582667,0.4958,0.95,5000
50,0.013999999999999999,0.7,0.01,jeffreys,0.9388,0.07165034439204017,0.0612,0.95,5000
50,0.013999999999999999,0.7,0.01,cp,0.9804,0.09234593928642731,0.0196,0.95,5000
50,0.013999999999999999,0.7,0.01,normal,0.425,0.0339362021853501,0.575,0.95,5000
50,0.013999999999999999,0.7,0.02,jeffreys,0.9254,0.07005441667142831,0.0746,0.95,5000
50,0.013999999999999999,0.7,0.02,cp,0.9654,0.09098532975278545,0.0346,0.95,5000
50,0.013999999999999999,0.7,0.02,normal,0.3552,0.031392081406495916,0.6448,0.95,5000
50,0.013999999999999999,0.7,0.05,jeffreys,0.9112,0.06804997835426696,0.0888,0.95,5000
50,0.013999999999999999,0.7,0.05,cp,0.95,0.08928037583395311,0.05,0.95,5000
50,0.013999999999999999,0.7,0.05,normal,0.264,0.02808819359965321,0.736,0.95,5000
50,0.013999999999999999,0.7,0.1,jeffreys,0.9116,0.06490917750051667,0.0884,0.95,5000
50,0.013999999999999999,0.7,0.1,cp,0.9356,0.086514286177945,0.0644,0.95,5000
50,0.013999999999999999,0.7,0.1,normal,0.1548,0.022965432287932065,0.8452,0.95,5000
50,0.013999999999999999,0.7,0.15,jeffreys,0.9132,0.06518830888836612,0.0868,0.95,5000
50,0.013999999999999999,0.7,0.15,cp,0.9312,0.08684829214998897,0.0688,0.95,5000
50,0.013999999999999999,0.7,0.15,normal,0.131,0.02300156474266265,0.869,0.95,5000
50,0.013999999999999999,0.7,0.2,jeffreys,0.9332,0.06083368741402019,0.0668,0.95,5000
50,0.013999999999999999,0.7,0.2,cp,0.9504,0.08270907876621997,0.0496,0.95,5000
50,0.013999999999999999,0.7,0.2,normal,0.0914,0.016811021487638283,0.9086,0.95,5000
50,0.016,0.8,0.0,jeffreys,0.9452,0.07716627201103587,0.0548,0.95,5000
50,0.016,0.8,0.0,cp,0.9908,0.09734006769953375,0.0092,0.95,5000
50,0.016,0.8,0.0,normal,0.563,0.04223910456160613,0.437,0.95,5000
50,0.016,0.8,0.01,jeffreys,0.9218,0.07529721862826762,0.0782,0.95,5000
50,0.016,0.8,0.01,cp,0.9724,0.09578634100458679,0.0276,0.95,5000
50,0.016,0.8,0.01,normal,0.4728,0.03925845750957144,0.5272,0.95,5000
50,0.016,0.8,0.02,jeffreys,0.9058,0.07385177335448864,0.0942,0.95,5000
50,0.016,0.8,0.02,cp,0.9594,0.09455256290292602,0.0406,0.95,5000
50,0.016,0.8,0.02,normal,0.413,0.03698324222824729,0.587,0.95,5000
50,0.016,0.8,0.05,jeffreys,0.898,0.07088835847272983,0.102,0.95,5000
50,0.016,0.8,0.05,cp,0.9366,0.09197885265228586,0.0634,0.95,5000
50,0.016,0.8,0.05,normal,0.2956,0.03214730272985469,0.7044,0.95,5000
50,0.016,0.8,0.1,jeffreys,0.9002,0.06761628778679399,0.0998,0.95,5000
50,0.016,0.8,0.1,cp,0.927,0.08906669666718289,0.073,0.95,5000
50,0.016,0.8,0.1,normal,0.188,0.026855153698981286,0.812,0.95,5000
50,0.016,0.8,0.15,jeffreys,0.9002,0.0660324431688821,0.0998,0.95,5000
50,0.016,0.8,0.15,cp,0.9256,0.08769089423517713,0.0744,0.95,5000
50,0.016,0.8,0.15,normal,0.1292,0.02414667116533349,0.8708,0.95,5000
50,0.016,0.8,0.2,jeffreys,0.9158,0.06463588642220758,0.0842,0.95,5000
50,0.016,0.8,0.2,cp,0.9304,0.08638797822374834,0.0696,0.95,5000
50,0.016,0.8,0.2,normal,0.1062,0.021924405468927308,0.8938,0.95,5000
50,0.018000000000000002,0.9,0.0,jeffreys,0.9854,0.07875786078406782,0.0146,0.95,5000
50,0.018000000000000002,0.9,0.0,cp,0.9854,0.09885124724782086,0.0146,0.95,5000
50,0.018000000000000002,0.9,0.0,normal,0.5844,0.04456082151530914,0.4156,0.95,5000
50,0.018000000000000002,0.9,0.01,jeffreys,0.9622,0.07799089644470239,0.0378,0.95,5000
50,0.018000000000000002,0.9,0.01,cp,0.9622,0.09833262128035415,0.0378,0.95,5000
50,0.018000000000000002,0.9,0.01,normal,0.5184,0.043209862000153754,0.4816,0.95,5000
50,0.018000000000000002,0.9,0.02,jeffreys,0.9506,0.07643490487847518,0.0494,0.95,5000
50,0.018000000000000002,0.9,0.02,cp,0.9506,0.0969872740652177,0.0494,0.95,5000
50,0.018000000000000002,0.9,0.02,normal,0.4582,0.04073849107132601,0.5418,0.95,5000
50,0.018000000000000002,0.9,0.05,jeffreys,0.9224,0.07418335877307485,0.0776,0.95,5000
50,0.018000000000000002,0.9,0.05,cp,0.9224,0.09515568965090053,0.0776,0.95,5000
50,0.018000000000000002,0.9,0.05,normal,0.3304,0.036800451459320746,0.6696,0.95,5000
50,0.018000000000000002,0.9,0.1,jeffreys,0.915,0.07050460924571271,0.085,0.95,5000
50,0.018000000000000002,0.9,0.1,cp,0.915,0.09183632385569018,0.085,0.95,5000
50,0.018000000000000002,0.9,0.1,normal,0.2258,0.030922858615414987,0.7742,0.95,5000
50,0.018000000000000002,0.9,0.15,jeffreys,0.9144,0.06792090764659264,0.0856,0.95,5000
50,0.018000000000000002,0.9,0.15,cp,0.9144,0.08950217482717013,0.0856,0.95,5000
50,0.018000000000000002,0.9,0.15,normal,0.1528,0.026737946596313004,0.8472,0.95,5000
50,0.018000000000000002,0.9,0.2,jeffreys,0.9324,0.06454815957122911,0.0676,0.95,5000
50,0.018000000000000002,0.9,0.2,cp,0.9324,0.08628336078397637,0.0676,0.95,5000
50,0.018000000000000002,0.9,0.2,normal,0.1228,0.02189876997221272,0.8772,0.95,5000
50,0.02,1.0,0.0,jeffreys,0.9822,0.08277493374377178,0.0178,0.95,5000
50,0.02,1.0,0.0,cp,0.9822,0.10264672572046432,0.0178,0.95,5000
50,0.02,1.0,0.0,normal,0.6414,0.05041631256688004,0.3586,0.95,5000
50,0.02,1.0,0.01,jeffreys,0.9534,0.08080688628454093,0.0466,0.95,5000
50,0.02,1.0,0.01,cp,0.9534,0.10099907114243747,0.0466,0.95,5000
50,0.02,1.0,0.01,normal,0.5536,0.04728609775588593,0.4464,0.95,5000
50,0.02,1.0,0.02,jeffreys,0.9394,0.0789963750639306,0.0606,0.95,5000
50,0.02,1.0,0.02,cp,0.9394,0.09942195868537784,0.0606,0.95,5000
50,0.02,1.0,0.02,normal,0.4894,0.04444086086750543,0.5106,0.95,5000
50,0.02,1.0,0.05,jeffreys,0.9182,0.07576328280588494,0.0818,0.95,5000
50,0.02,1.0,0.05,cp,0.9182,0.09661660306350052,0.0818,0.95,5000
50,0.02,1.0,0.05,normal,0.3614,0.03916139346725057,0.6386,0.95,5000
50,0.02,1.0,0.1,jeffreys,0.9072,0.072031359584855,0.0928,0.95,5000
50,0.02,1.0,0.1,cp,0.9072,0.09330265150760829,0.0928,0.95,5000
50,0.02,1.0,0.1,normal,0.2374,0.033055404773181314,0.7626,0.95,5000
50,0.02,1.0,0.15,jeffreys,0.898,0.07116496427268591,0.102,0.95,5000
50,0.02,1.0,0.15,cp,0.898,0.09261561726982068,0.102,0.95,5000
50,0.02,1.0,0.15,normal,0.1826,0.031321158439792364,0.8174,0.95,5000
50,0.02,1.0,0.2,jeffreys,0.9202,0.06680140682296506,0.0798,0.95,5000
50,0.02,1.0,0.2,cp,0.9202,0.08845098133476642,0.0798,0.95,5000
50,0.02,1.0,0.2,normal,0.1368,0.025056941656026312,0.8632,0.95,5000
50,0.025,1.25,0.0,jeffreys,0.9702,0.08833829926493043,0.0298,0.95,5000
50,0.025,1.25,0.0,cp,0.995,0.10796366897659239,0.005,0.95,5000
50,0.025,1.25,0.0,normal,0.7064,0.05852318392943414,0.2936,0.95,5000
50,0.025,1.25,0.01,jeffreys,0.9308,0.08775370275068986,0.0692,0.95,5000
50,0.025,1.25,0.01,cp,0.9696,0.10764193740613875,0.0304,0.95,5000
50,0.025,1.25,0.01,normal,0.63,0.05733683244524672,0.37,0.95,5000
50,0.025,1.25,0.02,jeffreys,0.9088,0.08525783044712248,0.0912,0.95,5000
50,0.025,1.25,0.02,cp,0.9544,0.10541903436107712,0.0456,0.95,5000
50,0.025,1.25,0.02,normal,0.552,0.05344052176328256,0.448,0.95,5000
50,0.025,1.25,0.05,jeffreys,0.877,0.08262528612860814,0.123,0.95,5000
50,0.025,1.25,0.05,cp,0.9226,0.1032456333711712,0.0774,0.95,5000
50,0.025,1.25,0.05,normal,0.4036,0.04880923145719012,0.5964,0.95,5000
50,0.025,1.25,0.1,jeffreys,0.8826,0.0781278702294312,0.1174,0.95,5000
50,0.025,1.25,0.1,cp,0.9098,0.09913333528045577,0.0902,0.95,5000
50,0.025,1.25,0.1,normal,0.2924,0.04164337578446472,0.7076,0.95,5000
50,0.025,1.25,0.15,jeffreys,0.8794,0.07518396144201239,0.1206,0.95,5000
50,0.025,1.25,0.15,cp,0.9046,0.09647979488739034,0.0954,0.95,5000
50,0.025,1.25,0.15,normal,0.2052,0.03677461358703492,0.7948,0.95,5000
50,0.025,1.25,0.2,jeffreys,0.9004,0.07108556917699999,0.0996,0.95,5000
50,0.025,1.25,0.2,cp,0.9178,0.09256993985188054,0.0822,0.95,5000
50,0.025,1.25,0.2,normal,0.1692,0.030966655101950312,0.8308,0.95,5000
50,0.03,1.5,0.0,jeffreys,0.9824,0.09604567776155096,0.0176,0.95,5000
50,0.03,1.5,0.0,cp,0.9824,0.11540067816118887,0.0176,0.95,5000
50,0.03,1.5,0.0,normal,0.7786,0.06961628973460496,0.2214,0.95,5000
50,0.03,1.5,0.01,jeffreys,0.9514,0.09428896709319975,0.0486,0.95,5000
50,0.03,1.5,0.01,cp,0.9514,0.11393529393412868,0.0486,0.95,5000
50,0.03,1.5,0.01,normal,0.6982,0.0667136561289366,0.3018,0.95,5000
50,0.03,1.5,0.02,jeffreys,0.9422,0.09164243814336259,0.0578,0.95,5000
50,0.03,1.5,0.02,cp,0.9422,0.1115044417859207,0.0578,0.95,5000
50,0.03,1.5,0.02,normal,0.6352,0.06264127956046867,0.3648,0.95,5000
50,0.03,1.5,0.05,jeffreys,0.9018,0.08876948878587267,0.0982,0.95,5000
50,0.03,1.5,0.05,cp,0.9018,0.10909276353868613,0.0982,0.95,5000
50,0.03,1.5,0.05,normal,0.489,0.05751065020162757,0.511,0.95,5000
50,0.03,1.5,0.1,jeffreys,0.8858,0.0833128836603657,0.1142,0.95,5000
50,0.03,1.5,0.1,cp,0.8858,0.10412601511470139,0.1142,0.95,5000
50,0.03,1.5,0.1,normal,0.3432,0.04878904070133044,0.6568,0.95,5000
50,0.03,1.5,0.15,jeffreys,0.8958,0.07895931959439069,0.1042,0.95,5000
50,0.03,1.5,0.15,cp,0.8958,0.10007942397270474,0.1042,0.95,5000
50,0.03,1.5,0.15,normal,0.2608,0.04211109972574401,0.7392,0.95,5000
50,0.03,1.5,0.2,jeffreys,0.8928,0.07684421073747265,0.1072,0.95,5000
50,0.03,1.5,0.2,cp,0.8928,0.09813089114054888,0.1072,0.95,5000
50,0.03,1.5,0.2,normal,0.2112,0.03882004726654782,0.7888,0.95,5000
50,0.035,1.75,0.0,jeffreys,0.9728,0.10192242484937576,0.0272,0.95,5000
50,0.035,1.75,0.0,cp,0.9926,0.12109918700830394,0.0074,0.95,5000
50,0.035,1.75,0.0,normal,0.8264,0.0781299076710071,0.1736,0.95,5000
50,0.035,1.75,0.01,jeffreys,0.9392,0.0998512641860646,0.0608,0.95,5000
50,0.035,1.75,0.01,cp,0.9748,0.11927891641977367,0.0252,0.95,5000
50,0.035,1.75,0.01,normal,0.7568,0.07476348651765662,0.2432,0.95,5000
50,0.035,1.75,0.02,jeffreys,0.9178,0.09886526338786882,0.0822,0.95,5000
50,0.035,1.75,0.02,cp,0.9508,0.11850104421265781,0.0492,0.95,5000
50,0.035,1.75,0.02,normal,0.688,0.07287049876900104,0.312,0.95,5000
50,0.035,1.75,0.05,jeffreys,0.8824,0.09330957693538353,0.1176,0.95,5000
50,0.035,1.75,0.05,cp,0.9204,0.11348947074890443,0.0796,0.95,5000
50,0.035,1.75,0.05,normal,0.5232,0.06394777041632972,0.4768,0.95,5000
50,0.035,1.75,0.1,jeffreys,0.867,0.08883254918617169,0.133,0.95,5000
50,0.035,1.75,0.1,cp,0.9002,0.10947126656590972,0.0998,0.95,5000
50,0.035,1.75,0.1,normal,0.3764,0.056416234758884375,0.6236,0.95,5000
50,0.035,1.75,0.15,jeffreys,0.8654,0.08575132373717871,0.1346,0.95,5000
50,0.035,1.75,0.15,cp,0.8918,0.10665465891711857,0.1082,0.95,5000
50,0.035,1.75,0.15,normal,0.2962,0.05143621066547486,0.7038,0.95,5000
50,0.035,1.75,0.2,jeffreys,0.875,0.08052087926195109,0.125,0.95,5000
50,0.035,1.75,0.2,cp,0.8954,0.10170830996659083,0.1046,0.95,5000
50,0.035,1.75,0.2,normal,0.2292,0.04374415971569132,0.7708,0.95,5000
50,0.04,2.0,0.0,jeffreys,0.9888,0.10844083930291945,0.0112,0.95,5000
50,0.04,2.0,0.0,cp,0.9888,0.12744509164302323,0.0112,0.95,5000
50,0.04,2.0,0.0,normal,0.8722,0.08745127637525273,0.1278,0.95,5000
50,0.04,2.0,0.01,jeffreys,0.9606,0.10586797677422041,0.0394,0.95,5000
50,0.04,2.0,0.01,cp,0.9606,0.1251345010184198,0.0394,0.95,5000
50,0.04,2.0,0.01,normal,0.7948,0.08329281154940922,0.2052,0.95,5000
50,0.04,2.0,0.02,jeffreys,0.934,0.1045802536391499,0.066,0.95,5000
50,0.04,2.0,0.02,cp,0.934,0.12405016333169883,0.066,0.95,5000
50,0.04,2.0,0.02,normal,0.7222,0.08089533016411225,0.2778,0.95,5000
50,0.04,2.0,0.05,jeffreys,0.8988,0.1003860639727594,0.1012,0.95,5000
50,0.04,2.0,0.05,cp,0.8988,0.1203219663794584,0.1012,0.95,5000
50,0.04,2.0,0.05,normal,0.5704,0.07379407591407426,0.4296,0.95,5000
50,0.04,2.0,0.1,jeffreys,0.8846,0.09261011652211695,0.1154,0.95,5000
50,0.04,2.0,0.1,cp,0.8846,0.11308261711429875,0.1154,0.95,5000
50,0.04,2.0,0.1,normal,0.4078,0.06172676706208086,0.5922,0.95,5000
50,0.04,2.0,0.15,jeffreys,0.8804,0.08882001867565194,0.1196,0.95,5000
50,0.04,2.0,0.15,cp,0.8804,0.10961298863025097,0.1196,0.95,5000
50,0.04,2.0,0.15,normal,0.3216,0.05563758165990251,0.6784,0.95,5000
50,0.04,2.0,0.2,jeffreys,0.8808,0.08466397541596583,0.1192,0.95,5000
50,0.04,2.0,0.2,cp,0.8808,0.10571120480055213,0.1192,0.95,5000
50,0.04,2.0,0.2,normal,0.2508,0.049362149244525845,0.7492,0.95,5000
50,0.05,2.5,0.0,jeffreys,0.8862,0.11889356532634408,0.1138,0.95,5000
50,0.05,2.5,0.0,cp,0.9864,0.13773521685101534,0.0136,0.95,5000
50,0.05,2.5,0.0,normal,0.9196,0.10214415849677637,0.0804,0.95,5000
50,0.05,2.5,0.01,jeffreys,0.8018,0.11641180033407841,0.1982,0.95,5000
50,0.05,2.5,0.01,cp,0.9642,0.13545700130243626,0.0358,0.95,5000
50,0.05,2.5,0.01,normal,0.8556,0.09804030621804677,0.1444,0.95,5000
50,0.05,2.5,0.02,jeffreys,0.732,0.11510762404022105,0.268,0.95,5000
50,0.05,2.5,0.02,cp,0.9444,0.13432470448551798,0.0556,0.95,5000
50,0.05,2.5,0.02,normal,0.7966,0.09561324726040224,0.2034,0.95,5000
50,0.05,2.5,0.05,jeffreys,0.5838,0.11017113921662547,0.4162,0.95,5000
50,0.05,2.5,0.05,cp,0.9,0.12980729648077094,0.1,0.95,5000
50,0.05,2.5,0.05,normal,0.6506,0.08734690024966847,0.3494,0.95,5000
50,0.05,2.5,0.1,jeffreys,0.4382,0.10277204552072508,0.5618,0.95,5000
50,0.05,2.5,0.1,cp,0.8848,0.12292016795627395,0.1152,0.95,5000
50,0.05,2.5,0.1,normal,0.4974,0.07576271881873571,0.5026,0.95,5000
50,0.05,2.5,0.15,jeffreys,0.3432,0.09749938351890876,0.6568,0.95,5000
50,0.05,2.5,0.15,cp,0.8762,0.1180027872028744,0.1238,0.95,5000
50,0.05,2.5,0.15,normal,0.3906,0.06744197343175795,0.6094,0.95,5000
50,0.05,2.5,0.2,jeffreys,0.2674,0.09236484725479435,0.7326,0.95,5000
50,0.05,2.5,0.2,cp,0.8702,0.11317332198724216,0.1298,0.95,5000
50,0.05,2.5,0.2,normal,0.3056,0.059753714738458065,0.6944,0.95,5000
50,0.06,3.0,0.0,jeffreys,0.9268,0.12959195275708774,0.0732,0.95,5000
50,0.06,3.0,0.0,cp,0.9896,0.14833853769789376,0.0104,0.95,5000
50,0.06,3.0,0.0,normal,0.8158,0.11694985132565619,0.1842,0.95,5000
50,0.06,3.0,0.01,jeffreys,0.859,0.12870746529343782,0.141,0.95,5000
50,0.06,3.0,0.01,cp,0.9674,0.1475757814895133,0.0326,0.95,5000
50,0.06,3.0,0.01,normal,0.7442,0.11484905845179867,0.2558,0.95,5000
50,0.06,3.0,0.02,jeffreys,0.8012,0.12459811482155428,0.1988,0.95,5000
50,0.06,3.0,0.02,cp,0.9486,0.14361025358421536,0.0514,0.95,5000
50,0.06,3.0,0.02,normal,0.6712,0.10858125369241213,0.3288,0.95,5000
50,0.06,3.0,0.05,jeffreys,0.6486,0.11870621312892533,0.3514,0.95,5000
50,0.06,3.0,0.05,cp,0.909,0.13814846518555532,0.091,0.95,5000
50,0.06,3.0,0.05,normal,0.5246,0.09889475427659847,0.4754,0.95,5000
50,0.06,3.0,0.1,jeffreys,0.4898,0.11139643755749819,0.5102,0.95,5000
50,0.06,3.0,0.1,cp,0.8692,0.13133150566351937,0.1308,0.95,5000
50,0.06,3.0,0.1,normal,0.368,0.08713473731548742,0.632,0.95,5000
50,0.06,3.0,0.15,jeffreys,0.4048,0.10718102804882071,0.5952,0.95,5000
50,0.06,3.0,0.15,cp,0.8672,0.12743261498924635,0.1328,0.95,5000
50,0.06,3.0,0.15,normal,0.3174,0.08056264809961278,0.6826,0.95,5000
50,0.06,3.0,0.2,jeffreys,0.3274,0.10294998994728259,0.6726,0.95,5000
50,0.06,3.0,0.2,cp,0.853,0.12348338086924082,0.147,0.95,5000
50,0.06,3.0,0.2,normal,0.2462,0.07387534434389059,0.7538,0.95,5000
50,0.07,3.5,0.0,jeffreys,0.9506,0.1375226781321807,0.0494,0.95,5000
50,0.07,3.5,0.0,cp,0.9798,0.15623524513038714,0.0202,0.95,5000
50,0.07,3.5,0.0,normal,0.8588,0.12763109942391834,0.1412,0.95,5000
50,0.07,3.5,0.01,jeffreys,0.8914,0.13612070050091085,0.1086,0.95,5000
50,0.07,3.5,0.01,cp,0.948,0.15493881362207318,0.052,0.95,5000
50,0.07,3.5,0.01,normal,0.7834,0.1248488856601151,0.2166,0.95,5000
50,0.07,3.5,0.02,jeffreys,0.8462,0.13383999879973185,0.1538,0.95,5000
50,0.07,3.5,0.02,cp,0.9294,0.15275632550480908,0.0706,0.95,5000
50,0.07,3.5,0.02,normal,0.7266,0.12102228953251158,0.2734,0.95,5000
50,0.07,3.5,0.05,jeffreys,0.7136,0.12741913438519306,0.2864,0.95,5000
50,0.07,3.5,0.05,cp,0.8856,0.14667236855037283,0.1144,0.95,5000
50,0.07,3.5,0.05,normal,0.5674,0.11070669176655921,0.4326,0.95,5000
50,0.07,3.5,0.1,jeffreys,0.5556,0.11905284241096062,0.4444,0.95,5000
50,0.07,3.5,0.1,cp,0.8554,0.13879386640147848,0.1446,0.95,5000
50,0.07,3.5,0.1,normal,0.4214,0.09760808643092364,0.5786,0.95,5000
50,0.07,3.5,0.15,jeffreys,0.4572,0.11346250754833488,0.5428,0.95,5000
50,0.07,3.5,0.15,cp,0.8446,0.13353780391610373,0.1554,0.95,5000
50,0.07,3.5,0.15,normal,0.3398,0.08888071511736316,0.6602,0.95,5000
50,0.07,3.5,0.2,jeffreys,0.3822,0.10952584652542503,0.6178,0.95,5000
50,0.07,3.5,0.2,cp,0.8342,0.12984916653905432,0.1658,0.95,5000
50,0.07,3.5,0.2,normal,0.2818,0.0827964640053884,0.7182,0.95,5000
50,0.08,4.0,0.0,jeffreys,0.9656,0.1473667683864909,0.0344,0.95,5000
50,0.08,4.0,0.0,cp,0.9656,0.16604744703178384,0.0344,0.95,5000
50,0.08,4.0,0.0,normal,0.9102,0.14049252358081885,0.0898,0.95,5000
50,0.08,4.0,0.01,jeffreys,0.9242,0.1449931632788501,0.0758,0.95,5000
50,0.08,4.0,0.01,cp,0.9242,0.16374216583943846,0.0758,0.95,5000
50,0.08,4.0,0.01,normal,0.85,0.13652682287435902,0.15,0.95,5000
50,0.08,4.0,0.02,jeffreys,0.8824,0.1416059491198087,0.1176,0.95,5000
50,0.08,4.0,0.02,cp,0.8824,0.16042205047204836,0.1176,0.95,5000
50,0.08,4.0,0.02,normal,0.7838,0.1312612886395153,0.2162,0.95,5000
