n,p,conf_level,coverage_jeff,coverage_exact,coverage_approx,coverage_ecb,coverage_approx_unil,coverage_exact_unil
100,0.06324749163879598,0.95,0.9356,0.9671,0.948,0.9575,0.8834,0.9575
100,0.06357859531772575,0.95,0.931,0.9771,0.8745,0.9551,0.8858,0.9551
100,0.06390969899665552,0.95,0.9343,0.9782,0.8828,0.9608,0.8936,0.9608
100,0.06424080267558528,0.95,0.9351,0.9807,0.8885,0.9602,0.8919,0.9602
100,0.06457190635451505,0.95,0.9304,0.9767,0.8909,0.9617,0.897,0.9617
100,0.06490301003344481,0.95,0.9367,0.9782,0.8888,0.9613,0.8939,0.9613
100,0.06523411371237459,0.95,0.9338,0.9782,0.8909,0.9631,0.8957,0.9631
100,0.06556521739130435,0.95,0.9298,0.9757,0.8913,0.9602,0.8971,0.9602
100,0.06589632107023412,0.95,0.9308,0.9743,0.8892,0.9636,0.8961,0.9636
100,0.06622742474916388,0.95,0.9319,0.9756,0.8968,0.9646,0.9028,0.9646
100,0.06655852842809365,0.95,0.9313,0.9753,0.8993,0.9646,0.9068,0.9646
100,0.06688963210702341,0.95,0.9385,0.9775,0.9084,0.9698,0.9151,0.9698
100,0.06722073578595318,0.95,0.9299,0.9756,0.8976,0.9664,0.9047,0.9664
100,0.06755183946488294,0.95,0.9518,0.9757,0.9043,0.9691,0.9124,0.9691
100,0.06788294314381271,0.95,0.95,0.9717,0.9105,0.971,0.9197,0.971
100,0.06821404682274247,0.95,0.9521,0.9752,0.907,0.9703,0.9149,0.9703
100,0.06854515050167224,0.95,0.9526,0.975,0.9122,0.9717,0.9192,0.9717
100,0.068876254180602,0.95,0.9543,0.973,0.9133,0.9204,0.9204,0.9736
100,0.06920735785953178,0.95,0.9548,0.9725,0.9172,0.9259,0.9259,0.9747
100,0.06953846153846154,0.95,0.9527,0.9736,0.9101,0.919,0.919,0.9731
100,0.06986956521739131,0.95,0.9495,0.9709,0.9111,0.9208,0.9208,0.9719
100,0.07020066889632107,0.95,0.9521,0.9685,0.9188,0.9304,0.9304,0.9772
100,0.07053177257525084,0.95,0.9527,0.9527,0.9213,0.9301,0.9301,0.9754
