prefix,design,metric,context,n,rho,conf_level,nominal,xlim_low,xlim_high,method_key,method_label,collapsed_group,rmse,figure,scenario,rho_min,rho_max
beta_binom_zoom,curves,coverage,n1000_rho0_05,1000.0,0.05,0.95,0.95,,,normal,Normal approximation,normal,0.7709344846786051,beta_binom_zoom_curves_coverage_n1000_rho0_05.png,,,
beta_binom_zoom,curves,coverage,n1000_rho0_1,1000.0,0.1,0.95,0.95,,,cp,Exact Clopper–Pearson,cp,0.8099969117225078,beta_binom_zoom_curves_coverage_n1000_rho0_1.png,,,
beta_binom_zoom,curves,coverage,n1000_rho0_1,1000.0,0.1,0.95,0.95,,,jeffreys,Jeffreys equal-tailed,jeffreys,0.8146914289062659,beta_binom_zoom_curves_coverage_n1000_rho0_1.png,,,
beta_binom_zoom,curves,coverage,n1000_rho0_1,1000.0,0.1,0.95,0.95,,,normal,Normal approximation,normal,0.836396195591539,beta_binom_zoom_curves_coverage_n1000_rho0_1.png,,,
beta_binom_zoom,curves,coverage,n100_rho0,100.0,0.0,0.95,0.95,,,cp,Exact Clopper–Pearson,cp,0.026788523662195394,beta_binom_zoom_curves_coverage_n100_rho0.png,,,
beta_binom_zoom,curves,coverage,n100_rho0,100.0,0.0,0.95,0.95,,,jeffreys,Jeffreys equal-tailed,jeffreys,0.02256344388607377,beta_binom_zoom_curves_coverage_n100_rho0.png,,,
beta_binom_zoom,curves,coverage,n100_rho0,100.0,0.0,0.95,0.95,,,normal,Normal approximation,normal,0.21864600080190505,beta_binom_zoom_curves_coverage_n100_rho0.png,,,
beta_binom_zoom,curves,coverage,n100_rho0_01,100.0,0.01,0.95,0.95,,,cp,Exact Clopper–Pearson,cp,0.06121703466628655,beta_binom_zoom_curves_coverage_n100_rho0_01.png,,,
beta_binom_zoom,curves,coverage,n100_rho0_01,100.0,0.01,0.95,0.95,,,jeffreys,Jeffreys equal-tailed,jeffreys,0.11051617528669726,beta_binom_zoom_curves_coverage_n100_rho0_01.png,,,
beta_binom_zoom,curves,coverage,n100_rho0_01,100.0,0.01,0.95,0.95,,,normal,Normal approximation,normal,0.2953314065023675,beta_binom_zoom_curves_coverage_n100_rho0_01.png,,,
beta_binom_zoom,curves,coverage,n100_rho0_05,100.0,0.05,0.95,0.95,,,cp,Exact Clopper–Pearson,cp,0.26391516376795526,beta_binom_zoom_curves_coverage_n100_rho0_05.png,,,
beta_binom_zoom,curves,coverage,n100_rho0_05,100.0,0.05,0.95,0.95,,,jeffreys,Jeffreys equal-tailed,jeffreys,0.3450936080737128,beta_binom_zoom_curves_coverage_n100_rho0_05.png,,,
beta_binom_zoom,curves,coverage,n100_rho0_05,100.0,0.05,0.95,0.95,,,normal,Normal approximation,normal,0.5178213659168575,beta_binom_zoom_curves_coverage_n100_rho0_05.png,,,
beta_binom_zoom,curves,coverage,n100_rho0_1,100.0,0.1,0.95,0.95,,,cp,Exact Clopper–Pearson,cp,0.39265872544318514,beta_binom_zoom_curves_coverage_n100_rho0_1.png,,,
